Niveau1;Niveau2;Niveau3;URL;Base;Avancé
MenuLM_Individual Finals;MenuLM_Export Text File;;Final/ExportTSV.php;X;X
MenuLM_Individual Finals;MenuLM_Scorecard Printout;;Final/Individual/PrintScore.php;X;
MenuLM_Individual Finals;MenuLM_NewBacknumbers;;Accreditation/IdCards.php?CardType=I;X;X
MenuLM_Individual Finals;MenuLM_Data insert (Bracket view);;Final/Individual/InsertPoint_Bra.php;X;
MenuLM_Individual Finals;MenuLM_Data insert (Table view);;Final/Individual/InsertPoint1.php;X;
MenuLM_Individual Finals;MenuLM_Arrow by Arrow (Advanced user);;Final/WriteArrows.php;X;
MenuLM_Individual Finals;MenuLM_Swaps;;Final/SwapMatches.php;X;X
MenuLM_Individual Finals;MenuLM_Spotting;;Final/Spotting.php;X;X
MenuLM_Individual Finals;MenuLM_Printout;;Final/PrintOut.php;X;
MenuLM_Individual Finals;MenuLM_Input Score;;Modules/Barcodes/GetFinScoreBarCode.php;X;
MenuLM_Individual Finals;MenuLM_Input Score;MenuLM_GetScoreBarcode;Modules/Barcodes/GetFinScoreBarCode.php;X;
MenuLM_Individual Finals;MenuLM_Input Score;MenuLM_GetScoreBarcodeReport;Modules/Barcodes/GetScoreBarCodeReport.php;X;
MenuLM_Individual Finals;MenuLM_Speaker;;Modules/Speaker/index.php;X;
MenuLM_Team Finals;;;;;
MenuLM_Team Finals;MenuLM_Check shoot-off before final phases;;Final/Team/AbsTeam.php;X;
MenuLM_Team Finals;MenuLM_PrnShootOff;;Qualification/PrnShootoff.php;X;X
MenuLM_Team Finals;MenuLM_Export Text File;;Final/ExportTSV.php;X;X
MenuLM_Team Finals;MenuLM_Scorecard Printout;;Final/Team/PrintScore.php;X;
MenuLM_Team Finals;MenuLM_NewBacknumbers;;Accreditation/IdCards.php?CardType=T;X;X
MenuLM_Team Finals;MenuLM_Change Components;;Final/Team/ChangeComponents.php;X;
MenuLM_Team Finals;MenuLM_Data insert (Bracket view);;Final/Team/InsertPoint_Bra.php;X;
MenuLM_Team Finals;MenuLM_Data insert (Table view);;Final/Team/InsertPoint1.php;X;
MenuLM_Team Finals;MenuLM_Arrow by Arrow (Advanced user);;Final/WriteArrows.php;X;
MenuLM_Team Finals;MenuLM_Swaps;;Final/SwapMatches.php;X;X
MenuLM_Team Finals;MenuLM_Spotting;;Final/Spotting.php?Team=1;X;X
